Squad,# Pl_x,90s_x,Gls_x,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_x,PKatt_x,# Pl_y,Age_x,Poss,MP_x,Starts_x,Min_x,90s_y,Gls_y,Ast,G+A,G-PK,PK_y,PKatt_y,CrdY_x,CrdR_x,PrgC,PrgP,G+A-PK,Age_y,MP_y,Min_y,Mn/MP,Min%,Starts_y,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,# Pl,90s,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Newcastle Utd,31,38.0,1.13,,3.95,,,3.95,,0.27,,0.08,0.08,31,25.4,46.6,38,418,3420.0,38.0,1.13,0.89,2.03,1.05,0.08,0.08,0.0,0.0,,,1.95,25.4,38,3420.0,90.0,100,11.0,,,2.84,0,4.18,0.97,1.16,1.71,-0.55,-0.55,38,38,3420,1.71,1.71,4.68,2.97,63.5,0.24,0.26,0.5,0.21,21.1,,,,,31,38.0,0,0,,419,,,,,,,,
Norwich City,28,38.0,1.0,,3.42,,,3.42,,0.28,,0.03,0.03,28,27.7,46.0,38,418,3420.0,38.0,1.0,0.71,1.71,0.97,0.03,0.03,0.0,0.0,,,1.68,27.7,38,3420.0,90.0,100,11.0,,,2.79,0,4.21,0.89,1.03,1.76,-0.74,-0.74,38,38,3420,1.76,1.76,4.34,2.58,59.4,0.24,0.18,0.58,0.13,13.2,,,,,28,38.0,0,0,,431,,,,,,,,
Southampton,26,38.0,1.53,,4.34,,,4.34,,0.33,,0.08,0.11,26,26.4,49.2,38,418,3420.0,38.0,1.53,1.18,2.71,1.45,0.08,0.11,0.0,0.0,,,2.63,26.4,38,3420.0,90.0,100,11.0,,,2.92,0,4.08,1.66,1.55,1.08,0.47,0.47,38,38,3420,1.08,1.08,3.5,2.42,69.2,0.47,0.24,0.29,0.32,31.6,,,,,26,38.0,0,0,,417,,,,,,,,
Stoke City,27,38.0,1.05,,3.34,,,3.34,,0.28,,0.13,0.13,27,27.4,49.7,38,418,3420.0,38.0,1.05,0.76,1.82,0.92,0.13,0.13,0.0,0.0,,,1.68,27.4,38,3420.0,90.0,100,11.0,,,2.82,0,4.18,1.34,1.08,1.45,-0.37,-0.37,38,38,3420,1.45,1.45,4.61,3.16,68.6,0.37,0.24,0.39,0.26,26.3,,,,,27,38.0,0,0,,420,,,,,,,,
Sunderland,31,38.0,1.16,,4.55,,,4.55,,0.24,,0.08,0.08,31,27.3,41.0,38,418,3420.0,38.0,1.16,0.79,1.95,1.08,0.08,0.08,0.0,0.0,,,1.87,27.3,38,3420.0,90.0,100,11.0,,,2.76,0,4.24,1.03,1.26,1.63,-0.37,-0.37,38,38,3420,1.63,1.63,5.61,3.97,70.9,0.24,0.32,0.45,0.18,18.4,,,,,31,38.0,0,0,,484,,,,,,,,
Swansea City,27,38.0,1.08,,3.55,,,3.55,,0.27,,0.13,0.13,27,27.6,52.5,38,418,3420.0,38.0,1.08,0.66,1.74,0.95,0.13,0.13,0.0,0.0,,,1.61,27.6,38,3420.0,90.0,100,11.0,,,2.87,0,4.13,1.24,1.11,1.37,-0.26,-0.26,38,38,3420,1.37,1.37,4.34,2.97,68.5,0.32,0.29,0.39,0.24,23.7,,,,,27,38.0,0,0,,392,,,,,,,,
Tottenham,24,38.0,1.79,,6.58,,,6.58,,0.25,,0.13,0.13,24,24.5,57.4,38,418,3420.0,38.0,1.79,1.32,3.11,1.66,0.13,0.13,0.0,0.0,,,2.97,24.5,38,3420.0,90.0,100,11.0,,,2.79,0,4.21,1.84,1.82,0.92,0.89,0.89,38,38,3420,0.92,0.92,3.18,2.26,71.1,0.5,0.34,0.16,0.34,34.2,,,,,24,38.0,0,0,,451,,,,,,,,
Watford,25,38.0,1.0,,3.66,,,3.66,,0.23,,0.16,0.18,25,28.2,45.1,38,418,3420.0,38.0,1.0,0.47,1.47,0.84,0.16,0.18,0.0,0.0,,,1.32,28.2,38,3420.0,90.0,100,11.0,,,2.68,0,4.32,1.18,1.05,1.32,-0.26,-0.26,38,38,3420,1.32,1.32,3.24,1.92,59.3,0.32,0.24,0.45,0.29,28.9,,,,,25,38.0,0,0,,455,,,,,,,,
West Brom,28,38.0,0.84,,2.84,,,2.84,,0.29,,0.03,0.13,28,29.1,39.8,38,418,3420.0,38.0,0.84,0.66,1.5,0.82,0.03,0.13,0.0,0.0,,,1.47,29.1,38,3420.0,90.0,100,11.0,,,2.66,0,4.37,1.13,0.89,1.26,-0.37,-0.37,38,38,3420,1.26,1.26,4.08,2.82,69.0,0.26,0.34,0.39,0.29,28.9,,,,,28,38.0,0,0,,400,,,,,,,,
West Ham,28,38.0,1.68,,4.89,,,4.89,,0.32,,0.11,0.11,28,26.6,48.4,38,418,3420.0,38.0,1.68,1.0,2.68,1.58,0.11,0.11,0.0,0.0,,,2.58,26.6,38,3420.0,90.0,100,11.0,,,2.92,0,4.08,1.63,1.71,1.34,0.37,0.37,38,38,3420,1.34,1.34,4.26,2.92,68.5,0.42,0.37,0.21,0.29,28.9,,,,,28,38.0,0,0,,381,,,,,,,,
Arsenal,29,38.0,1.82,,5.95,,,5.95,,0.28,,0.16,0.18,29,26.1,56.6,38,418,3420.0,38.0,1.82,1.24,3.05,1.66,0.16,0.18,0.0,0.0,,,2.89,26.1,38,3420.0,90.0,100,11.0,,,2.71,0,4.29,1.97,1.87,0.95,0.92,0.92,38,38,3420,0.95,0.95,3.37,2.42,71.9,0.58,0.24,0.18,0.34,34.2,,,,,29,38.0,0,0,,377,,,,,,,,
Aston Villa,27,38.0,0.82,,3.34,,,3.34,,0.24,,0.03,0.03,27,26.3,49.0,38,418,3420.0,38.0,0.82,0.61,1.42,0.79,0.03,0.03,0.0,0.0,,,1.39,26.3,38,3420.0,90.0,100,11.0,,,2.66,0,4.34,1.0,0.82,1.5,-0.68,-0.68,38,38,3420,1.5,1.5,4.42,2.92,66.1,0.26,0.21,0.53,0.26,26.3,,,,,27,38.0,0,0,,398,,,,,,,,
Burnley,24,38.0,0.71,,3.26,,,3.26,,0.21,,0.03,0.05,24,27.2,42.5,38,418,3420.0,38.0,0.71,0.58,1.29,0.68,0.03,0.05,0.0,0.0,,,1.26,27.2,38,3420.0,90.0,100,11.0,,,2.32,0,4.63,0.87,0.74,1.39,-0.66,-0.66,38,38,3420,1.39,1.39,4.68,3.29,70.2,0.18,0.32,0.5,0.26,26.3,,,,,24,38.0,0,0,,406,,,,,,,,
Chelsea,25,38.0,1.89,,5.5,,,5.5,,0.33,,0.11,0.13,25,27.0,55.9,38,418,3420.0,38.0,1.89,1.55,3.45,1.79,0.11,0.13,0.0,0.0,,,3.34,27.0,38,3420.0,90.0,100,11.0,,,2.97,0,4.03,2.29,1.92,0.84,1.08,1.08,38,38,3420,0.84,0.84,3.18,2.34,73.6,0.68,0.24,0.08,0.45,44.7,,,,,25,38.0,0,0,,382,,,,,,,,
Crystal Palace,30,38.0,1.21,,3.66,,,3.66,,0.29,,0.13,0.18,30,27.8,40.4,38,418,3420.0,38.0,1.21,0.71,1.92,1.08,0.13,0.18,0.0,0.0,,,1.79,27.8,38,3420.0,90.0,100,11.0,,,2.74,0,4.26,1.26,1.24,1.34,-0.11,-0.11,38,38,3420,1.34,1.34,3.79,2.45,64.6,0.34,0.24,0.42,0.18,18.4,,,,,30,38.0,0,0,,527,,,,,,,,
Everton,28,38.0,1.24,,4.39,,,4.39,,0.26,,0.11,0.18,28,27.9,54.7,38,418,3420.0,38.0,1.24,0.82,2.05,1.13,0.11,0.18,0.0,0.0,,,1.95,27.9,38,3420.0,90.0,100,11.0,,,2.5,0,4.5,1.24,1.26,1.32,-0.05,-0.05,38,38,3420,1.32,1.32,3.37,2.05,60.9,0.32,0.29,0.39,0.26,26.3,,,,,28,38.0,0,0,,387,,,,,,,,
